,Current Sat Longitude,Sat Name,NORAD Number,Launch date,TLE Source,Site,Org,Op,Current Lat,Lat drift 10 minutes,Lon drift 10 minutes,Longitude at Epoch,Lon Driftrate [deg pr.day],Inclination,E/W Lon Osc (Incl),E/W Lon Osc (Ecc),Apogee[km],Perigee[km],Altitude [km],ID
314, 10.3100°E,ECHOSTAR 21,42749,2017-06-08 00:00:00,CEL,TYMSC,US,+,  -3.5338°S,0.089°N,0.002°E, 10.2157°E,0.003°E,   4.021°,0.0706°,0.0229°,35796,35779,35795,2017-032A  
313, 10.9831°E,INMARSAT GX5,44801,2019-11-26 00:00:00,CEL,FRGUI,IM,+,  -0.0658°S,0.001°N,0.001°W, 10.9691°E,0.003°W,   0.043°,0.0000°,0.0201°,35795,35781,35794,2019-080B  
347, 10.9845°W,EXPRESS-AM44,33595,2009-02-11 00:00:00,CEL,TYMSC,CIS,+,  -0.0250°S,0.000°N,0.000°W, 10.9865°W,0.000°E,   0.015°,0.0000°,0.0100°,35791,35784,35786,2009-007A  
348, 11.0855°W,EXPRESS-AM33,32478,2008-01-28 00:00:00,CEL,TYMSC,CIS,+,   0.6777°N,0.033°S,0.000°E, 11.0915°W,0.001°E,   1.012°,0.0045°,0.0105°,35791,35784,35786,2008-003A  
349, 11.4626°W,TDRS 13,42915,2017-08-18 00:00:00,CEL,AFETR,US,+,  -4.3771°S,0.045°S,0.001°W, 11.4994°W,0.002°E,   4.503°,0.0886°,0.2227°,35869,35705,35854,2017-047A  
312, 12.0212°E,COSMOS 2539,44457,2019-08-05 00:00:00,CEL,TYMSC,CIS,+,   0.0194°N,0.001°S,0.000°E, 12.0207°E,0.004°E,   0.055°,0.0000°,0.0087°,35791,35784,35784,2019-048A  
350, 12.0222°W,WGS F9 (USA 275),42075,2017-03-19 00:00:00,CEL,AFETR,US,+,  -0.0481°S,0.000°N,0.000°E, 12.0130°W,0.004°W,   0.025°,0.0000°,0.0023°,35789,35787,35786,2017-016A  
351, 12.4505°W,EUTELSAT 48D,33460,2008-12-20 00:00:00,CEL,FRGUI,EUTE,+,   0.9786°N,0.045°S,0.002°W, 12.4852°W,0.001°E,   1.417°,0.0088°,0.0398°,35802,35773,35799,2008-065B  
311, 13.0090°E,EUTELSAT HOTBIRD 13B,29270,2006-08-04 00:00:00,CEL,TYMSC,EUTE,+,  -0.0878°S,0.000°S,0.002°W, 12.9831°E,0.005°E,   0.068°,0.0000°,0.0519°,35806,35768,35802,2006-032A  
310, 13.0316°E,EUTELSAT HOTBIRD 13C,33459,2008-12-20 00:00:00,CEL,FRGUI,EUTE,+,  -0.0332°S,0.003°S,0.003°W, 13.0424°E,0.011°E,   0.080°,0.0000°,0.0674°,35812,35762,35810,2008-065A  
309, 13.0601°E,EUTELSAT HOTBIRD 13E,28946,2006-03-11 00:00:00,CEL,FRGUI,EUTE,+,   0.0345°N,0.000°N,0.002°W, 12.9893°E,0.021°E,   0.059°,0.0000°,0.0507°,35805,35767,35800,2006-007B  
308, 13.1693°E,COMSATBW-2,36582,2010-05-21 00:00:00,CEL,FRGUI,GER,+,   0.0037°N,0.001°S,0.001°W, 13.1353°E,0.003°E,   0.049°,0.0000°,0.0274°,35798,35777,35796,2010-021B  
352, 14.0132°W,EXPRESS-AM8,40895,2015-09-14 00:00:00,CEL,TYMSC,CIS,+,  -0.0104°S,0.000°N,0.000°W, 14.0083°W,0.003°W,   0.009°,0.0000°,0.0038°,35789,35786,35787,2015-048A  
353, 14.4684°W,ELEKTRO-L 2,41105,2015-12-11 00:00:00,CEL,TYMSC,CIS,+,   1.9717°N,0.097°S,0.001°W, 14.5384°W,0.001°E,   2.945°,0.0379°,0.0193°,35795,35780,35787,2015-074A  
354, 14.9925°W,TELSTAR 12V,41036,2015-11-24 00:00:00,CEL,TANSC,CA,+,  -0.0149°S,0.001°S,0.001°W, 15.0090°W,0.000°E,   0.020°,0.0000°,0.0215°,35796,35780,35794,2015-068A  
355, 15.1480°W,MUOS-3,40374,2015-01-21 00:00:00,CEL,AFETR,US,+,  -1.4129°S,0.093°S,0.020°E, 15.2139°W,0.009°E,   2.553°,0.0285°,0.6051°,36010,35565,35607,2015-002A  
307, 15.6805°E,AMC-14,32708,2008-03-14 00:00:00,CEL,TYMSC,US,P, -13.8230°S,0.730°S,0.053°W, 17.2392°E,0.006°W,  22.041°,2.1214°,0.4968°,35969,35603,35939,2008-011A  
306, 16.0661°E,EUTELSAT 16A,37836,2011-10-07 00:00:00,CEL,XICLF,EUTE,+,  -0.0893°S,0.000°N,0.003°W, 15.9561°E,0.060°E,   0.069°,0.0000°,0.0708°,35809,35757,35808,2011-057A  
356, 16.1256°W,LUCH 5B,38977,2012-11-02 00:00:00,CEL,TYMSC,CIS,+,   2.3245°N,0.302°S,0.018°W, 16.4836°W,0.005°W,   7.255°,0.2298°,0.0584°,35809,35766,35798,2012-061A  
305, 16.8462°E,TIANLIAN 1-05,49011,2021-07-06 00:00:00,CEL,XICLF,PRC,+,  -1.0061°S,0.088°N,0.002°W, 16.7637°E,0.014°E,   2.212°,0.0214°,0.0317°,35798,35775,35795,2021-063A  
304, 16.9909°E,AMOS-17,44479,2019-08-06 00:00:00,CEL,AFETR,ISRA,+,  -0.0053°S,0.001°S,0.001°W, 16.9726°E,0.007°E,   0.044°,0.0000°,0.0216°,35795,35779,35794,2019-050A  
357, 17.7784°W,SKYNET 5C,33055,2008-06-12 00:00:00,CEL,FRGUI,UK,+,  -0.0452°S,0.003°S,0.002°W, 17.8108°W,0.000°W,   0.068°,0.0000°,0.0429°,35803,35772,35799,2008-030A  
358, 17.9912°W,INTELSAT 37E,42950,2017-09-29 00:00:00,CEL,FRGUI,ITSO,+,   0.0046°N,0.001°S,0.001°W, 17.9975°W,0.003°E,   0.037°,0.0000°,0.0267°,35797,35778,35794,2017-059A  
303, 18.5496°E,USA 164 (MILSTAR-2 3),27168,2002-01-14 00:00:00,CEL,AFETR,US,+,  -7.2677°S,0.261°S,0.007°E, 19.1448°E,0.004°W,   9.490°,0.3933°,0.0128°,35793,35783,35792,2002-001A  
302, 19.1729°E,ASTRA 1L,31306,2007-05-04 00:00:00,CEL,FRGUI,SES,+,  -0.0549°S,0.001°N,0.000°W, 19.1638°E,0.012°E,   0.034°,0.0000°,0.0281°,35797,35777,35789,2007-016A  
301, 19.1799°E,ASTRA 1KR,29055,2006-04-20 00:00:00,CEL,AFETR,SES,+,  -0.0225°S,0.001°N,0.000°W, 19.1797°E,0.002°W,   0.001°,0.0000°,0.0048°,35790,35786,35788,2006-012A  
300, 19.1990°E,ASTRA 1N,37775,2011-08-06 00:00:00,CEL,FRGUI,SES,+,  -0.0524°S,0.002°S,0.003°W, 19.1694°E,0.001°W,   0.069°,0.0000°,0.0613°,35810,35765,35808,2011-041A  
299, 19.2351°E,ASTRA 1M,33436,2008-11-05 00:00:00,CEL,TYMSC,SES,+,   0.0097°N,0.002°S,0.002°W, 19.2062°E,0.002°W,   0.058°,0.0000°,0.0485°,35806,35770,35803,2008-057A  
298, 19.3171°E,ASTRA 1G,25071,1997-12-02 00:00:00,CEL,TYMSC,SES,+,  -1.2146°S,0.265°S,0.015°W, 19.1863°E,0.004°E,   6.213°,0.1685°,0.0407°,35802,35772,35800,1997-076A  
359, 19.8678°W,NSS-7,27414,2002-04-16 00:00:00,CEL,FRGUI,SES,+,   3.0257°N,0.222°S,0.008°W, 20.0714°W,0.003°W,   5.866°,0.1503°,0.0270°,35798,35778,35795,2002-019A  
297, 20.0566°E,ARABSAT-5C,37810,2011-09-21 00:00:00,CEL,FRGUI,AB,+,  -0.0773°S,0.001°N,0.002°W, 19.9595°E,0.003°E,   0.056°,0.0000°,0.0578°,35809,35766,35800,2011-049B  
360, 20.1098°W,AL YAH 3,43174,2018-01-25 00:00:00,CEL,FRGUI,UAE,+,   0.0506°N,0.002°S,0.001°W, 20.1287°W,0.004°W,   0.086°,0.0000°,0.0244°,35797,35779,35793,2018-012A  
296, 20.4135°E,TIANLIAN 1-03,38730,2012-07-25 00:00:00,CEL,XICLF,PRC,+,   0.3558°N,0.084°S,0.006°W, 20.4919°E,0.016°E,   1.973°,0.0170°,0.1018°,35824,35749,35822,2012-040A  
295, 20.6874°E,SBIRS GEO-2 (USA 241),39120,2013-03-19 00:00:00,CEL,AFETR,US,+,  -1.7064°S,0.041°S,0.000°W, 20.6825°E,0.002°E,   1.950°,0.0166°,0.0218°,35796,35780,35794,2013-011A  
294, 21.6347°E,EUTELSAT 21B,38992,2012-11-10 00:00:00,CEL,FRGUI,EUTE,+,  -0.0888°S,0.000°N,0.001°W, 21.5773°E,0.031°E,   0.069°,0.0000°,0.0384°,35799,35771,35798,2012-062B  
361, 21.9863°W,SES-4,38087,2012-02-14 00:00:00,CEL,TYMSC,SES,+,  -0.0384°S,0.000°S,0.001°W, 22.0037°W,0.000°W,   0.015°,0.0000°,0.0254°,35797,35778,35794,2012-007A  
362, 22.9285°W,UFO 10 (USA 146),25967,1999-11-23 00:00:00,CEL,AFETR,US,+,  -0.5788°S,0.378°S,0.030°W, 23.2578°W,0.002°W,   8.689°,0.3297°,0.0535°,35806,35767,35796,1999-063A  
293, 23.4964°E,ASTRA 3B,36581,2010-05-21 00:00:00,CEL,FRGUI,SES,+,  -0.0653°S,0.002°N,0.001°W, 23.4762°E,0.007°E,   0.049°,0.0000°,0.0293°,35798,35776,35796,2010-021A  
292, 23.5507°E,ASTRA 2D,26638,2000-12-20 00:00:00,CEL,FRGUI,SES,+,  -2.9007°S,0.288°S,0.014°W, 23.5260°E,0.019°W,   7.265°,0.2305°,0.0180°,35795,35782,35794,2000-081A  
363, 24.4517°W,INTELSAT 905,27438,2002-06-05 00:00:00,CEL,FRGUI,ITSO,+,   2.3280°N,0.085°S,0.001°W, 24.4536°W,0.002°W,   3.016°,0.0397°,0.0318°,35799,35776,35797,2002-027A  
364, 24.7791°W,ALCOMSAT 1,43039,2017-12-10 00:00:00,CEL,XICLF,ALG,+,   0.0330°N,0.000°N,0.001°W, 24.7996°W,0.003°E,   0.058°,0.0000°,0.0231°,35796,35779,35793,2017-078A  
291, 24.8486°E,ALPHASAT,39215,2013-07-25 00:00:00,CEL,FRGUI,IM,+,  -2.5813°S,0.035°S,0.001°E, 24.8380°E,0.011°E,   2.707°,0.0320°,0.0264°,35797,35777,35795,2013-038A  
290, 25.1389°E,SKYNET 5B,32294,2007-11-14 00:00:00,CEL,FRGUI,UK,+,   0.0843°N,0.064°S,0.003°W, 25.1482°E,0.011°W,   1.483°,0.0096°,0.0393°,35803,35774,35801,2007-056B  
289, 25.4732°E,ES'HAIL 1,39233,2013-08-29 00:00:00,CEL,FRGUI,AB,+,  -0.0682°S,0.000°N,0.001°W, 25.4693°E,0.000°E,   0.051°,0.0000°,0.0243°,35797,35779,35794,2013-044A  
288, 25.8146°E,ES'HAIL 2,43700,2018-11-15 00:00:00,CEL,AFETR,AB,+,  -0.0017°S,0.001°S,0.000°W, 25.7987°E,0.015°E,   0.045°,0.0000°,0.0103°,35790,35783,35789,2018-090A  
287, 25.9546°E,BADR-4,29526,2006-11-08 00:00:00,CEL,TYMSC,AB,+,  -0.0574°S,0.001°N,0.001°W, 25.9676°E,0.002°W,   0.040°,0.0000°,0.0317°,35800,35776,35795,2006-051A  
286, 25.9687°E,BADR-6,33154,2008-07-07 00:00:00,CEL,FRGUI,AB,+,  -0.0488°S,0.002°S,0.003°W, 25.9119°E,0.006°E,   0.079°,0.0000°,0.0755°,35815,35759,35813,2008-034B  
285, 25.9985°E,BADR-7 (ARABSAT-6B),41029,2015-11-10 00:00:00,CEL,FRGUI,AB,+,  -0.0092°S,0.002°N,0.001°E, 25.9694°E,0.001°E,   0.039°,0.0000°,0.0345°,35800,35775,35778,2015-065B  
284, 26.0152°E,BADR-5,36592,2010-06-03 00:00:00,CEL,TYMSC,AB,+,   0.0205°N,0.002°S,0.002°W, 25.9433°E,0.012°E,   0.066°,0.0000°,0.0484°,35805,35769,35802,2010-025A  
365, 27.4745°W,MEV-1,44625,2019-10-09 00:00:00,CEL,TYMSC,US,+,  -0.0110°S,0.001°S,0.000°W, 27.4720°W,0.005°W,   0.025°,0.0000°,0.0088°,35791,35785,35788,2019-067B  
366, 27.4857°W,INTELSAT 901,26824,2001-06-09 00:00:00,CEL,FRGUI,ITSO,+,   0.0129°N,0.001°S,0.000°W, 27.4827°W,0.004°W,   0.043°,0.0000°,0.0073°,35791,35785,35788,2001-024A  
283, 28.1479°E,ASTRA 2G,40364,2014-12-27 00:00:00,CEL,TYMSC,SES,+,  -0.0491°S,0.001°S,0.002°W, 28.1236°E,0.004°E,   0.051°,0.0000°,0.0557°,35808,35767,35803,2014-089A  
282, 28.2100°E,ASTRA 2F,38778,2012-09-28 00:00:00,CEL,FRGUI,SES,+,   0.0056°N,0.003°N,0.000°E, 28.1972°E,0.015°E,   0.058°,0.0000°,0.0133°,35792,35782,35784,2012-051A  
281, 28.4415°E,UFO 2 (USA 95),22787,1993-09-03 00:00:00,CEL,AFETR,US,+, -11.2021°S,0.098°S,0.045°E, 28.4037°E,0.025°E,  11.463°,0.5738°,0.0395°,35802,35772,35801,1993-056A  
280, 28.4721°E,ASTRA 2E,39285,2013-09-29 00:00:00,CEL,TYMSC,SES,+,  -0.0805°S,0.002°N,0.001°W, 28.4725°E,0.010°W,   0.068°,0.0000°,0.0247°,35798,35780,35795,2013-056A  
367, 28.8020°W,USA 324,51280,2022-01-21 00:00:00,CEL,AFETR,US,+,   0.1835°N,0.004°S,0.004°E, 39.1490°W,0.491°E,   0.174°,0.0001°,0.0076°,35751,35745,35745,2022-006A  
279, 28.9840°E,XTAR-EUR,28542,2005-02-12 00:00:00,CEL,FRGUI,US,+,   0.0325°N,0.023°S,0.002°W, 28.9603°E,0.004°E,   0.533°,0.0012°,0.0347°,35800,35775,35798,2005-005A  
368, 29.4289°W,INTELSAT 904,27380,2002-02-23 00:00:00,CEL,FRGUI,ITSO,+,   2.6091°N,0.082°S,0.000°W, 29.4270°W,0.004°W,   3.195°,0.0446°,0.0359°,35801,35775,35798,2002-007A  
369, 29.9454°W,HISPASAT 30W-5,37264,2010-12-29 00:00:00,CEL,FRGUI,SPN,+,   0.0429°N,0.001°S,0.001°W, 29.9638°W,0.004°W,   0.069°,0.0000°,0.0589°,35810,35766,35798,2010-070A  
370, 29.9515°W,SPAINSAT,28945,2006-03-11 00:00:00,CEL,FRGUI,SPN,+,  -0.0310°S,0.000°N,0.001°W, 30.0009°W,0.000°W,   0.025°,0.0000°,0.0261°,35797,35778,35791,2006-007A  
371, 30.0243°W,HISPASAT 30W-6,43228,2018-03-06 00:00:00,CEL,AFETR,SPN,+,  -0.0162°S,0.002°S,0.003°W, 30.0005°W,0.059°W,   0.046°,0.0000°,0.0601°,35814,35770,35810,2018-023A  
278, 30.5144°E,ARABSAT-5A,36745,2010-06-26 00:00:00,CEL,FRGUI,AB,+,  -0.0643°S,0.000°S,0.002°W, 30.4681°E,0.010°W,   0.057°,0.0000°,0.0516°,35808,35770,35806,2010-032B  
277, 30.5218°E,ARABSAT-6A,44186,2019-04-11 00:00:00,CEL,AFETR,AB,+,  -0.0676°S,0.002°N,0.001°W, 30.4787°E,0.033°E,   0.054°,0.0000°,0.0182°,35792,35779,35790,2019-021A  
276, 30.9192°E,TURKSAT 5A,47306,2021-01-08 00:00:00,CEL,AFETR,TURK,+,  -0.0170°S,0.000°N,0.000°E, 30.9180°E,0.001°E,   0.020°,0.0000°,0.0025°,35789,35787,35786,2021-001A  
275, 31.0176°E,HYLAS 2,38741,2012-08-02 00:00:00,CEL,FRGUI,UK,+,  -0.0177°S,0.000°S,0.001°W, 31.0160°E,0.003°W,   0.026°,0.0000°,0.0168°,35794,35782,35791,2012-043B  
274, 31.1922°E,EDRS-C,44475,2019-08-06 00:00:00,CEL,FRGUI,ESA,+,  -0.0191°S,0.003°N,0.000°W, 31.1830°E,0.009°E,   0.051°,0.0000°,0.0086°,35790,35784,35788,2019-049A  
372, 31.4754°W,INTELSAT 25 (IS-25),33153,2008-07-07 00:00:00,CEL,FRGUI,ITSO,+,   0.0247°N,0.000°N,0.001°W, 31.4790°W,0.000°W,   0.000°,0.0000°,0.0319°,35799,35776,35794,2008-034A  
273, 31.4819°E,ASTRA 5B,39617,2014-03-22 00:00:00,CEL,FRGUI,SES,+,  -0.0558°S,0.002°N,0.002°W, 31.4640°E,0.001°W,   0.054°,0.0000°,0.0387°,35802,35774,35800,2014-011B  
272, 32.2727°E,IRNSS-1F,41384,2016-03-10 00:00:00,CEL,SRILR,IND,+,   1.9441°N,0.040°S,0.004°E, 32.6210°E,0.011°E,   2.158°,0.0203°,0.2147°,35866,35708,35766,2016-015A  
271, 32.8014°E,INTELSAT NEW DAWN   [PM],37392,2011-04-22 00:00:00,CEL,FRGUI,ITSO,+,  -0.0157°S,0.001°N,0.000°W, 32.8101°E,0.003°W,   0.015°,0.0000°,0.0078°,35791,35785,35789,2011-016A  
270, 32.8758°E,GALAXY 14 (G-14),28790,2005-08-13 00:00:00,CEL,TYMSC,US,+,  -0.0350°S,0.053°S,0.001°W, 32.8657°E,0.008°E,   1.218°,0.0065°,0.0216°,35795,35779,35792,2005-030A  
269, 33.0560°E,EUTELSAT 33E,33750,2009-02-12 00:00:00,CEL,FRGUI,EUTE,+,  -0.0713°S,0.001°N,0.002°W, 33.0487°E,0.001°E,   0.055°,0.0000°,0.0438°,35804,35772,35800,2009-008B  
268, 33.5413°E,SKYNET 4C,20776,1990-08-30 00:00:00,CEL,FRGUI,UK,+, -13.7947°S,0.050°N,0.072°E, 32.6612°E,0.013°E,  13.811°,0.8330°,0.0292°,35799,35778,35798,1990-079A  
373, 34.2528°W,HYLAS 4,43272,2018-04-05 00:00:00,CEL,FRGUI,UK,+,  -0.0783°S,0.001°N,0.002°W, 33.4951°W,0.162°W,   0.072°,0.0000°,0.0290°,35811,35789,35807,2018-033B  
374, 34.4964°W,INTELSAT 35E,42818,2017-07-05 00:00:00,CEL,AFETR,ITSO,+,   0.0240°N,0.000°N,0.001°W, 34.4941°W,0.005°W,   0.000°,0.0000°,0.0189°,35795,35781,35792,2017-041A  
375, 34.7222°W,INMARSAT 3-F1,23839,1996-04-03 00:00:00,CEL,AFETR,IM,+,   4.0698°N,0.278°S,0.019°W, 30.5686°W,0.985°W,   7.496°,0.2453°,0.0974°,35900,35828,35882,1996-020A  
267, 35.0282°E,RADUGA-1M 3,39375,2013-11-11 00:00:00,CEL,TYMSC,CIS,+,  -0.2153°S,0.094°S,0.000°W, 34.9399°E,0.000°W,   2.188°,0.0209°,0.0498°,35806,35769,35774,2013-062A  
266, 35.5099°E,TIBA-1,44800,2019-11-26 00:00:00,CEL,FRGUI,EGYP,+,  -0.0685°S,0.002°N,0.001°W, 35.4907°E,0.009°E,   0.055°,0.0000°,0.0208°,35795,35779,35793,2019-080A  
265, 35.8444°E,EUTELSAT 36B,36101,2009-11-24 00:00:00,CEL,TYMSC,EUTE,+,  -0.0837°S,0.001°N,0.002°W, 35.8348°E,0.002°W,   0.068°,0.0000°,0.0570°,35809,35767,35805,2009-065A  
376, 35.9817°W,HISPASAT 36W-1,41942,2017-01-28 00:00:00,CEL,FRGUI,SPN,+,   0.0041°N,0.000°N,0.000°W, 35.9756°W,0.003°W,   0.006°,0.0000°,0.0116°,35792,35783,35790,2017-006A  
264, 36.0759°E,EXPRESS-AMU1,41191,2015-12-24 00:00:00,CEL,TYMSC,CIS,+,  -0.0300°S,0.001°N,0.001°W, 36.0763°E,0.003°W,   0.018°,0.0000°,0.0310°,35799,35777,35796,2015-082A  
377, 37.4163°W,NSS-10 (AMC-12),28526,2005-02-03 00:00:00,CEL,TYMSC,SES,+,   2.4623°N,0.054°S,0.001°E, 37.4469°W,0.007°E,   2.743°,0.0329°,0.0316°,35799,35775,35796,2005-003A  
378, 37.5379°W,TELSTAR 11N,34111,2009-02-26 00:00:00,CEL,TYMSC,CA,+,  -0.0300°S,0.001°S,0.001°W, 37.5270°W,0.005°W,   0.019°,0.0000°,0.0131°,35793,35783,35791,2009-009A  
263, 37.7822°E,ATHENA-FIDUS,39509,2014-02-06 00:00:00,CEL,FRGUI,FRIT,+,  -0.0086°S,0.001°S,0.001°W, 37.7740°E,0.002°E,   0.039°,0.0000°,0.0142°,35793,35782,35791,2014-006B  
262, 37.9115°E,PAKSAT-1R,37779,2011-08-11 00:00:00,CEL,XICLF,PAKI,+,   0.0003°N,0.001°S,0.001°W, 37.8906°E,0.012°E,   0.036°,0.0000°,0.0326°,35799,35775,35796,2011-042A  
261, 38.9607°E,HELLAS-SAT 3,42814,2017-06-28 00:00:00,CEL,FRGUI,GREC,+,  -0.0778°S,0.000°S,0.001°W, 38.9781°E,0.011°E,   0.070°,0.0000°,0.0557°,35807,35766,35799,2017-040A  
260, 39.0376°E,HELLAS-SAT 4 & SGS-1,44034,2019-02-05 00:00:00,CEL,FRGUI,GRSA,+,   0.0145°N,0.002°S,0.002°W, 38.9381°E,0.011°E,   0.069°,0.0000°,0.0586°,35808,35765,35802,2019-007A  
259, 39.9285°E,SHIJIAN-20 (SJ-20),44910,2019-12-27 00:00:00,CEL,WSC  ,PRC,+,  -0.1741°S,0.047°S,0.016°W, 40.4582°E,1.989°W,   1.127°,0.0055°,0.0417°,35959,35928,35953,2019-097A  
258, 39.9930°E,EXPRESS-AM7,40505,2015-03-18 00:00:00,CEL,TYMSC,CIS,+,  -0.0211°S,0.000°S,0.001°W, 39.9837°E,0.012°E,   0.029°,0.0000°,0.0316°,35799,35775,35795,2015-012A  
379, 40.4787°W,SES-6,39172,2013-06-03 00:00:00,CEL,TYMSC,SES,+,  -0.0342°S,0.001°S,0.001°W, 40.4982°W,0.000°W,   0.018°,0.0000°,0.0273°,35798,35777,35794,2013-026A  
380, 40.8746°W,TDRS 12,39504,2014-01-24 00:00:00,CEL,AFETR,US,+,  -2.0889°S,0.142°S,0.003°W, 40.8790°W,0.010°W,   3.876°,0.0656°,0.0581°,35809,35767,35791,2014-004A  
257, 41.3895°E,METEOSAT-8 (MSG1),27509,2002-08-28 00:00:00,CEL,FRGUI,EUME,+,  -6.2339°S,0.214°S,0.006°E, 41.3847°E,0.033°E,   8.005°,0.2799°,0.0282°,35796,35775,35785,2002-040B  
381, 41.9787°W,USA 170,27875,2003-08-29 00:00:00,CEL,AFETR,US,+,   4.9068°N,0.244°S,0.003°W, 42.2900°W,0.004°W,   7.344°,0.2355°,0.0338°,35800,35775,35788,2003-040A  
256, 41.9878°E,TURKSAT 3A,33056,2008-06-12 00:00:00,CEL,FRGUI,TURK,+,  -0.0122°S,0.003°S,0.002°W, 41.9430°E,0.012°E,   0.079°,0.0000°,0.0590°,35809,35765,35806,2008-030B  
255, 41.9940°E,TURKSAT 4A,39522,2014-02-14 00:00:00,CEL,TYMSC,TURK,+,  -0.0100°S,0.002°N,0.000°E, 42.0071°E,0.002°W,   0.024°,0.0000°,0.0068°,35790,35785,35786,2014-007A  
254, 42.4435°E,NIGCOMSAT 1R,38014,2011-12-19 00:00:00,CEL,XICLF,NIG,+,  -0.0065°S,0.002°S,0.001°W, 42.4382°E,0.000°W,   0.059°,0.0000°,0.0445°,35804,35771,35795,2011-077A  
382, 42.9768°W,INTELSAT 11 (IS-11),32253,2007-10-05 00:00:00,CEL,FRGUI,ITSO,+,  -0.0226°S,0.001°S,0.000°W, 42.9770°W,0.002°W,   0.004°,0.0000°,0.0174°,35794,35781,35789,2007-044B  
383, 43.1918°W,INTELSAT 32E,41945,2017-02-14 00:00:00,CEL,FRGUI,ITSO,+,  -0.0201°S,0.001°S,0.000°W, 43.1882°W,0.005°W,   0.004°,0.0000°,0.0069°,35790,35785,35787,2017-007B  
253, 43.8554°E,THURAYA-2,27825,2003-06-10 00:00:00,CEL,SEAL ,UAE,+,  -6.3052°S,0.096°S,0.013°E, 43.9964°E,0.011°E,   6.711°,0.1967°,0.0309°,35799,35776,35793,2003-026A  
384, 44.0394°W,USA 325,51281,2022-01-21 00:00:00,CEL,AFETR,US,+,   0.1543°N,0.002°N,0.002°W, 44.1281°W,0.021°W,   0.130°,0.0001°,0.0721°,35813,35760,35806,2022-006B  
252, 44.0512°E,SHIYAN 12 01 (SY-12 01),50321,2021-12-23 00:00:00,CEL,WSC  ,PRC,+,   0.1065°N,0.006°N,0.002°W, 44.0983°E,0.222°W,   0.179°,0.0001°,0.0311°,35816,35794,35809,2021-129A  
385, 44.9771°W,INTELSAT 14 (IS-14),36097,2009-11-23 00:00:00,CEL,AFETR,ITSO,+,   0.0220°N,0.001°N,0.001°W, 44.9755°W,0.005°W,   0.000°,0.0000°,0.0273°,35798,35778,35792,2009-064A  
251, 45.0262°E,COSMOS 2520,42907,2017-08-16 00:00:00,CEL,TYMSC,CIS,+,  -0.0079°S,0.001°S,0.000°W, 45.0102°E,0.011°E,   0.041°,0.0000°,0.0082°,35790,35784,35787,2017-046A  
250, 45.1111°E,AZERSPACE 2 (IS-38),43632,2018-09-25 00:00:00,CEL,FRGUI,AZER,+,   0.0146°N,0.001°S,0.000°W, 45.1125°E,0.001°W,   0.001°,0.0000°,0.0134°,35793,35783,35790,2018-074A  
249, 45.5461°E,METEOSAT-9 (MSG2),28912,2005-12-21 00:00:00,CEL,FRGUI,EUME,+,  -3.8103°S,0.198°S,0.002°W, 45.5583°E,0.016°W,   5.980°,0.1562°,0.0135°,35794,35784,35790,2005-049B  
386, 45.8900°W,TDRS 6,22314,1993-01-13 00:00:00,CEL,AFETR,US,+,  -1.5613°S,0.607°S,0.072°W, 46.3341°W,0.042°W,  14.131°,0.8720°,0.1385°,35839,35737,35777,1993-003B  
248, 45.9860°E,AZERSPACE 1,39079,2013-02-07 00:00:00,CEL,FRGUI,AZER,+,  -0.0225°S,0.000°S,0.001°W, 45.9660°E,0.007°E,   0.033°,0.0000°,0.0207°,35795,35780,35793,2013-006B  
247, 46.0075°E,ASTRA 2A,25462,1998-08-30 00:00:00,CEL,TYMSC,SES,+,  -1.1872°S,0.136°S,0.001°E, 45.1858°E,0.564°E,   3.364°,0.0494°,0.0095°,35747,35740,35744,1998-050A  
246, 46.9596°E,SYRACUSE 3A,28885,2005-10-13 00:00:00,CEL,FRGUI,FR,+,  -0.2678°S,0.045°S,0.002°W, 47.0213°E,0.004°W,   1.079°,0.0051°,0.0373°,35802,35774,35797,2005-041B  
387, 47.4988°W,SES-14,43175,2018-01-25 00:00:00,CEL,FRGUI,SES,+,  -0.0330°S,0.001°S,0.000°W, 47.5037°W,0.001°W,   0.016°,0.0000°,0.0078°,35790,35785,35788,2018-012B  
245, 47.5766°E,YAHSAT 1B,38245,2012-04-23 00:00:00,CEL,TYMSC,UAE,+,  -0.0276°S,0.001°N,0.001°W, 47.6201°E,0.006°W,   0.018°,0.0000°,0.0235°,35797,35780,35792,2012-016A  
244, 47.6701°E,EUTELSAT QUANTUM,49056,2021-07-30 00:00:00,CEL,FRGUI,EUTE,+,  -0.0228°S,0.001°N,0.001°W, 47.7008°E,0.000°W,   0.015°,0.0000°,0.0188°,35795,35781,35792,2021-069B  
243, 47.8435°E,GSAT-31,44035,2019-02-05 00:00:00,CEL,FRGUI,IND,+,  -0.0056°S,0.001°S,0.000°E, 47.8760°E,0.008°E,   0.045°,0.0000°,0.0220°,35795,35779,35784,2019-007B  
242, 47.8590°E,GSAT-19,42747,2017-06-05 00:00:00,CEL,SRILR,IND,+,  -0.0071°S,0.001°N,0.003°W, 47.8377°E,0.008°E,   0.014°,0.0000°,0.0789°,35816,35758,35811,2017-031A  
241, 47.8946°E,GSAT-12,37746,2011-07-15 00:00:00,CEL,SRILR,IND,+,  -0.3679°S,0.055°S,0.006°W, 48.0572°E,0.002°W,   1.336°,0.0078°,0.1277°,35835,35741,35830,2011-034A  
