,Current Sat Longitude,Sat Name,NORAD Number,Launch date,TLE Source,Site,Org,Op,Current Lat,Lat drift 10 minutes,Lon drift 10 minutes,Longitude at Epoch,Lon Driftrate [deg pr.day],Inclination,E/W Lon Osc (Incl),E/W Lon Osc (Ecc),Apogee[km],Perigee[km],Altitude [km],ID
38,143.9303°E,SUPERBIRD-C2,33274,2008-08-14 00:00:00,CEL,FRGUI,JPN,+,  -0.0412°S,0.000°N,0.000°E,143.9681°E,0.001°W,   0.065°,0.0000°,0.0241°,35796,35779,35783,2008-038A  
37,144.4821°E,BEIDOU-2 G8,44231,2019-05-17 00:00:00,CEL,XICLF,PRC,+,  -0.6122°S,0.024°N,0.002°W,144.5151°E,0.013°W,   0.821°,0.0029°,0.0503°,35807,35770,35805,2019-027A  
36,144.7928°E,SKY MUSTER 2 (NBN1B),41794,2016-10-05 00:00:00,CEL,FRGUI,AUS,+,   0.0377°N,0.001°N,0.001°E,144.8156°E,0.000°E,   0.016°,0.0000°,0.0164°,35794,35782,35781,2016-060B  
35,145.0003°E,EXPRESS AMU-7,50001,2021-12-13 00:00:00,CEL,TYMSC,CIS,+,   0.0039°N,0.000°N,0.000°E,144.9926°E,0.001°W,   0.007°,0.0000°,0.0042°,35789,35786,35786,2021-123A  
34,145.9959°E,NUSANTARA SATU,44048,2019-02-22 00:00:00,CEL,AFETR,INDO,+,   0.0266°N,0.001°N,0.001°E,145.9903°E,0.001°E,   0.017°,0.0000°,0.0201°,35795,35780,35781,2019-009A  
33,146.5329°E,TJS-7,49115,2021-08-24 00:00:00,CEL,XICLF,PRC,+,   0.3331°N,0.007°S,0.001°E,146.5084°E,0.007°W,   0.349°,0.0005°,0.0174°,35795,35782,35782,2021-077A  
32,147.5319°E,ASIASAT 4,27718,2003-04-12 00:00:00,CEL,AFETR,AC,+,  -0.8249°S,0.017°N,0.001°E,147.5416°E,0.007°W,   0.924°,0.0037°,0.0292°,35799,35777,35777,2003-014A  
31,149.7738°E,WGS F8 (USA 272),41879,2016-12-07 00:00:00,CEL,AFETR,US,+,  -0.0059°S,0.000°S,0.000°W,149.7932°E,0.002°W,   0.007°,0.0000°,0.0138°,35793,35783,35787,2016-075A  
30,149.9860°E,JCSAT-18 (KACIFIC 1),44868,2019-12-17 00:00:00,CEL,AFETR,JPN,+,  -0.0384°S,0.000°N,0.000°W,149.9903°E,0.004°W,   0.063°,0.0000°,0.0045°,35790,35786,35788,2019-091A  
29,150.4975°E,BRISAT,41591,2016-06-18 00:00:00,CEL,FRGUI,INDO,+,   0.0421°N,0.001°N,0.001°E,150.5166°E,0.001°W,   0.019°,0.0000°,0.0218°,35796,35780,35779,2016-039A  
28,151.9718°E,OPTUS D2,32252,2007-10-05 00:00:00,CEL,FRGUI,AUS,+,   0.0259°N,0.001°N,0.001°E,152.0091°E,0.001°E,   0.016°,0.0000°,0.0376°,35801,35774,35775,2007-044A  
27,152.2753°E,USA 169 (MILSTAR-2 4),27711,2003-04-08 00:00:00,CEL,AFETR,US,+,  -1.4020°S,0.437°N,0.037°W,152.0757°E,0.013°W,  10.100°,0.4454°,0.0162°,35793,35781,35782,2003-012A  
26,153.9820°E,JCSAT-2B,41471,2016-05-06 00:00:00,CEL,AFETR,JPN,+,   0.0394°N,0.000°N,0.001°E,154.0121°E,0.004°W,   0.016°,0.0000°,0.0191°,35795,35781,35781,2016-028A  
25,154.9485°E,TJS-1,40892,2015-09-12 00:00:00,CEL,XICLF,PRC,+,   0.0406°N,0.001°N,0.000°E,154.9447°E,0.003°W,   0.018°,0.0000°,0.0111°,35792,35784,35782,2015-046A  
526,155.1340°W,AEHF-3 (USA 246),39256,2013-09-18 00:00:00,CEL,AFETR,US,+,   0.4174°N,0.069°N,0.025°W,154.8738°W,0.023°W,   1.656°,0.0120°,0.5636°,35996,35581,35993,2013-050A  
24,155.6775°E,OPTUS C1,27831,2003-06-11 00:00:00,CEL,FRGUI,AUS,+,  -2.4257°S,0.090°N,0.003°E,155.7387°E,0.006°W,   3.157°,0.0435°,0.0677°,35813,35763,35766,2003-028B  
23,155.9584°E,OPTUS 10,40146,2014-09-11 00:00:00,CEL,FRGUI,AUS,+,  -0.0055°S,0.001°N,0.001°E,156.0055°E,0.003°W,   0.035°,0.0000°,0.0325°,35800,35776,35779,2014-054A  
22,155.9888°E,OPTUS D3,35756,2009-08-21 00:00:00,CEL,FRGUI,AUS,+,   0.0104°N,0.002°N,0.002°E,156.0027°E,0.001°E,   0.052°,0.0000°,0.0421°,35803,35772,35771,2009-044B  
527,156.5361°W,INMARSAT 3-F2,24307,1996-09-06 00:00:00,CEL,TYMSC,IM,+,   1.8654°N,0.269°N,0.014°W,155.8031°W,1.000°W,   6.478°,0.1833°,0.1273°,35913,35819,35817,1996-053A  
21,157.2025°E,INTELSAT 1R (IS-1R),26608,2000-11-16 00:00:00,CEL,FRGUI,US,+,  -3.0126°S,0.145°N,0.001°W,157.2011°E,0.005°W,   4.436°,0.0859°,0.0135°,35793,35783,35791,2000-072A  
20,158.9522°E,ABS-6,25924,1999-09-26 00:00:00,CEL,TYMSC,ABS,+,   0.0284°N,0.001°N,0.001°E,158.9837°E,0.000°W,   0.031°,0.0000°,0.0347°,35800,35775,35776,1999-053A  
528,159.3710°W,SBIRS GEO-4 (USA 273),41937,2017-01-21 00:00:00,CEL,AFETR,US,+,   2.0061°N,0.059°S,0.002°E,159.3794°W,0.006°E,   2.367°,0.0245°,0.0204°,35795,35780,35778,2017-004A  
19,159.9818°E,OPTUS D1,29495,2006-10-13 00:00:00,CEL,FRGUI,AUS,+,   0.0405°N,0.000°N,0.001°E,160.0047°E,0.002°E,   0.016°,0.0000°,0.0370°,35801,35774,35774,2006-043B  
18,159.9875°E,BEIDOU 6,37210,2010-10-31 00:00:00,CEL,XICLF,PRC,+,  -0.0475°S,0.036°N,0.001°W,160.0181°E,0.001°W,   0.824°,0.0030°,0.0281°,35798,35777,35793,2010-057A  
