,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
43,Mario Manningham,NYG,WR,24,16,8,0,0,0,0,1,2,93,60,944,15.73,1,1,0,0,0,2,0,1,944,9,206.6
44,Santana Moss,WAS,WR,31,16,16,0,0,0,0,5,-6,145,93,1115,11.99,3,2,0,0,0,-6,0,5,1115,6,235.9
45,Matt Ryan,ATL,QB,25,16,16,357,571,3705,9,46,122,0,0,0,0,4,4,3705,28,571,122,0,46,0,0,246.4
46,Marques Colston,NOR,WR,27,15,11,0,0,0,0,1,1,131,84,1023,12.18,0,0,0,0,0,1,0,1,1023,7,228.4
47,LaDainian Tomlinson,NYJ,RB,31,15,13,0,0,0,0,219,914,79,52,368,7.08,3,0,0,0,0,914,6,219,368,0,216.2
48,Knowshon Moreno,DEN,RB,23,13,13,0,0,0,0,182,779,48,37,372,10.05,3,2,0,0,0,779,5,182,372,3,196.1
49,Mike Tolbert,SDG,RB,25,15,4,0,0,0,0,182,735,29,25,216,8.64,5,3,0,0,0,735,11,182,216,0,180.1
50,Frank Gore,SFO,RB,27,11,11,0,0,0,0,203,853,72,46,452,9.83,4,2,0,0,0,853,3,203,452,2,202.5
51,Matt Schaub,HOU,QB,29,16,16,365,574,4370,12,22,28,0,0,0,0,9,3,4370,24,574,28,0,22,0,0,243.6
52,Rob Gronkowski,NWE,TE,21,16,11,0,0,0,0,0,0,59,42,546,13,1,1,0,0,0,0,0,0,546,10,154.6
53,Percy Harvin,MIN,WR,22,14,13,0,0,0,0,18,107,109,71,868,12.23,1,1,0,0,0,107,1,18,868,5,202.5
54,Fred Jackson,BUF,RB,29,16,13,0,0,0,0,222,927,54,31,215,6.94,5,2,0,0,0,927,5,222,215,2,183.2
55,Braylon Edwards,NYJ,WR,27,16,15,0,0,0,0,1,4,101,53,904,17.06,1,1,0,0,0,4,0,1,904,7,183.8
56,Kenny Britt,TEN,WR,22,12,7,0,0,0,0,0,0,73,42,775,18.45,1,1,0,0,0,0,0,0,775,9,171.5
57,Eli Manning,NYG,QB,29,16,16,339,539,4002,25,32,70,0,0,0,0,7,6,4002,31,539,70,0,32,0,0,229.08
58,Wes Welker,NWE,WR,29,15,11,0,0,0,0,0,0,123,86,848,9.86,1,0,0,0,0,0,0,0,848,7,212.8
59,Johnny Knox,CHI,WR,24,16,16,0,0,0,0,1,2,100,51,960,18.82,1,1,0,0,0,2,0,1,960,5,175.2
60,Chris Cooley,WAS,TE,28,16,16,0,0,0,0,0,0,126,77,849,11.03,3,1,0,0,0,0,0,0,849,3,177.9
61,Anquan Boldin,BAL,WR,30,16,16,1,1,-6,0,2,2,109,64,837,13.08,1,1,-6,0,1,2,0,2,837,7,187.66
62,Joe Flacco,BAL,QB,25,16,16,306,489,3622,10,43,84,0,0,0,0,9,4,3622,25,489,84,1,43,0,0,231.28
63,Lance Moore,NOR,WR,27,16,1,0,0,0,0,0,0,94,66,763,11.56,2,2,0,0,0,0,0,0,763,8,186.3
64,Kellen Winslow,TAM,TE,27,16,11,0,0,0,0,0,0,98,66,730,11.06,1,0,0,0,0,0,0,0,730,5,169
